jogadores/licenca,jogadores/nome,jogadores/short_name,jogadores/fotografia,jogadores/posicaotatica,jogadores/pais,jogadores/equipa,jogadores/logotipo,jogadores/skoy_id_jogador,jogadores/shirtNumber,jogadores/nomeEquipa,jogadores/idEpoca,jogadores/epoca,jogadores/idClube,jogadores/nomeClube,jogadores/siglaClube,jogadores/idAssociacao,jogadores/associacao,jogadores/dataNascimento,jogadores/genero,jogadores/altura,jogadores/peso,jogadores/foto_acao,jogadores/facebook,jogadores/instagram,jogadores/twitter
208548,Salvador Serápio Victo,Salvador Victo,https://sav2.fpb.pt/uploads/utilizadores/136476_1632335967.png,BASE,Portugal,Imortal Basket Club,https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png,0,45,Imortal BC Sub23 ,60,2021/2022,2932,Imortal Basket Club,IBC,9,Associação de Basquetebol do Algarve ,2005-03-08,M,192,0,,,,
268477,Sérgio dos Santos Alves,Sérgio Alves,https://sav2.fpb.pt/uploads/utilizadores/196399_1663858957.png,EXTREMO / POSTE,Cabo Verde,Sport Club Lusitânia ,https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png,0,4,SC Lusitânia Expert ,60,2021/2022,76,Sport Club Lusitânia ,SCL,13,Associação de Basquetebol da Ilha Terceira ,2005-02-26,M,191,0,,,,
150441,Sérgio Fernando Penela da Silva,Sérgio Silva,https://sav2.fpb.pt/uploads/utilizadores/69588_1662745354.png,BASE / EXTREMO,Portugal,Imortal Basket Club,https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png,0,27,Imortal LUZiGÁS ,60,2021/2022,2932,Imortal Basket Club,IBC,9,Associação de Basquetebol do Algarve ,1996-03-05,M,193,83,,,,
77301,Sérgio Filipe da Silva Duarte,Sérgio Duarte,https://sav2.fpb.pt/uploads/utilizadores/12046_1632843081.png,,Portugal,Clube Desportivo da Póvoa,https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg,0,7,CD Póvoa ,60,2021/2022,118,Clube Desportivo da Póvoa,CDP,4,Associação de Basquetebol do Porto,1979-03-22,M,182,0,,,,
269329,Seydougou Mamourou Fofana Santis,Seydougou Santis,https://sav2.fpb.pt/uploads/utilizadores/219520_1631009629.png,EXTREMO / POSTE,Estados Unidos da América,Sporting Clube de Portugal,https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png,0,5,Sporting CP ,60,2021/2022,169,Sporting Clube de Portugal,SCP,1,Associação de Basquetebol de Lisboa,1997-10-05,M,206,0,,,,
268935,Shakir Marwan Smith,Shakir Smith,https://sav2.fpb.pt/uploads/utilizadores/218986_1638715881.png,BASE,Estados Unidos da América,Sporting Clube de Portugal,https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png,0,3,Sporting CP ,60,2021/2022,169,Sporting Clube de Portugal,SCP,1,Associação de Basquetebol de Lisboa,1992-10-25,M,185,0,,,,
276286,Shaun Gregory Willett,Shaun Willett,https://sav2.fpb.pt/uploads/utilizadores/227476_1637581426.png,,Estados Unidos da América,União Desportiva Oliveirense,https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png,0,0,UD Oliveirense ,60,2021/2022,28,União Desportiva Oliveirense,UDO,3,Associação de Basquetebol de Aveiro,1996-11-15,M,0,0,,,,
230675,Simão Filipe Andrade Certo Pinheiro Ribeiro,Simão Ribeiro,https://sav2.fpb.pt/uploads/utilizadores/158711_1633386553.png,,Portugal,Vitória Sport Clube,https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png,0,41,Vitória SC ,60,2021/2022,2300,Vitória Sport Clube,VSC,5,Associação de Basquetebol de Braga,2003-06-11,M,0,0,,,,
163662,Stefan Djukic,Stefan Djukic,https://sav2.fpb.pt/uploads/utilizadores/92364_1632846823.png,POSTE,Portugal,Associação Académica de Coimbra,https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png,0,7,Académica EFAPEL ,60,2021/2022,39,Associação Académica de Coimbra,AAC,8,Associação de Basquetebol de Coimbra,1989-07-18,M,201,101,,,,
273335,Tahjai Anaiah Teague,Tahjai Teague,https://sav2.fpb.pt/uploads/utilizadores/224063_1633382157.png,,Estados Unidos da América,Illiabum Clube ,https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png,0,25,Illiabum Clube ,60,2021/2022,22,Illiabum Clube ,ILL,3,Associação de Basquetebol de Aveiro,1997-06-25,M,203,0,,,,
